[32m [INFO] [07/01/2025 14:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:35] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:35] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:38] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:38] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:38] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:38] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:39] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:41] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: /Users/niek/Documents/code/github/final-cms/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[32m [INFO] [07/01/2025 14:41] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:46] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
