[32m [INFO] [03/27/2025 13:40] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: FTPError: 530 Login incorrect. [0m 
[32m [INFO] [03/27/2025 13:41] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: Error: connect ECONNREFUSED 127.0.0.1:21 (control socket) [0m 
[32m [INFO] [03/27/2025 13:43] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: TypeError: Cannot read properties of undefined (reading 'once') [0m 
[32m [INFO] [03/27/2025 13:44] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: TypeError: Cannot read properties of undefined (reading 'once') [0m 
[32m [INFO] [03/27/2025 15:00] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: TypeError: Cannot read properties of undefined (reading 'once') [0m 
[32m [INFO] [03/27/2025 15:43] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined [0m 
[32m [INFO] [03/27/2025 15:51] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: FTPError: 550 Failed to open file. [0m 
[32m [INFO] [03/27/2025 15:52] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure download [0m 
[32m [INFO] [03/27/2025 15:52] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure download [0m 
[32m [INFO] [03/27/2025 15:53] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure download [0m 
